index,french,english,audio,Semantic Domain,Bloom's Category,Aspectual Class
1,être,to be,french_audio/être.mp3,Existence/State,Knowledge,State
2,avoir,to have,french_audio/avoir.mp3,Possession,Knowledge,State
3,faire,to do/make,french_audio/faire.mp3,Creation/Change,Application,Activity
4,dire,to say,french_audio/dire.mp3,Communication,Application,Activity
5,aller,to go,french_audio/aller.mp3,Motion/Space,Knowledge,Activity
6,pouvoir,to be able to,french_audio/pouvoir.mp3,Modality,Knowledge,State
7,voir,to see,french_audio/voir.mp3,Perception,Knowledge,State
8,savoir,to know (facts),french_audio/savoir.mp3,Cognition,Knowledge,State
9,vouloir,to want,french_audio/vouloir.mp3,Emotion/Affect,Knowledge,State
10,venir,to come,french_audio/venir.mp3,Motion/Space,Knowledge,Activity
11,prendre,to take,french_audio/prendre.mp3,Possession,Application,Achievement
12,devoir,to have to,french_audio/devoir.mp3,Modality,Knowledge,State
13,falloir,to be necessary,french_audio/falloir.mp3,Modality,Knowledge,State
14,passer,to pass,french_audio/passer.mp3,Motion/Space,Knowledge,Activity
15,parler,to speak,french_audio/parler.mp3,Communication,Application,Activity
16,mettre,to put,french_audio/mettre.mp3,Motion/Space,Application,Achievement
17,regarder,to watch,french_audio/regarder.mp3,Perception,Application,Activity
18,demander,to ask,french_audio/demander.mp3,Communication,Application,Activity
19,trouver,to find,french_audio/trouver.mp3,Cognition,Knowledge,Achievement
20,suivre,to follow,french_audio/suivre.mp3,Motion/Space,Application,Activity
21,croire,to believe,french_audio/croire.mp3,Cognition,Knowledge,State
22,donner,to give,french_audio/donner.mp3,Possession,Application,Achievement
23,penser,to think,french_audio/penser.mp3,Cognition,Evaluation,State
24,laisser,to let/leave,french_audio/laisser.mp3,Motion/Space,Knowledge,Activity
25,aimer,to love/like,french_audio/aimer.mp3,Emotion/Affect,Knowledge,State
26,rester,to stay,french_audio/rester.mp3,Existence/State,Knowledge,State
27,tenir,to hold,french_audio/tenir.mp3,Possession,Application,State
